restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
Mad hunger,Restaurant,Fast Food,NEW,250,Bhandup,,Mumbai
Tastee,Restaurant,"South Indian,North Indian,Fast Food,Beverages",3.7,300,Worli,,Mumbai
Indie Food Co.,Restaurant,"Continental,Seafood,North Indian,Pizza",3.6,450,Khar,,Mumbai
The Biryani House,Restaurant,"North Indian,Biryani",3.4,300,Kalyan,,Mumbai
Sujay Chinese,Restaurant,Chinese,3.1,400,Bhayandar,,Mumbai
Vichare Catering Services,Restaurant,North Indian,3.1,350,Veera Desai Area,,Mumbai
Udta Punjab Star,Restaurant,"Chinese,North Indian,Malwani,Charcoal Chicken,Indian,Kebab,BBQ",3.3,300,Kurla,,Mumbai
Azuma Restaurant,Restaurant,"North Indian,Mughlai,Chinese,Arabian,Lebanese",3.8,900,CBD-Belapur,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Edwins,Restaurant,Beverages,3.4,250,Fort,,Mumbai
Mhatre's Aagri Kitchen,Restaurant,"North Indian,Chinese",3.5,400,Dombivali West,,Mumbai
Mi Bhandari Veg & Non Veg Restaurant,Restaurant,"Maharashtrian,North Indian,Chinese",3.3,800,Vasai,,Mumbai
VR Ghar Ka Swad,Restaurant,"Fast Food,North Indian,Maharashtrian",3.0,150,Kandivali West,,Mumbai
Anna Leela,Restaurant,"North Indian,South Indian,Street Food,Chinese,Beverages",3.6,550,Mumbai Central,,Mumbai
Momos Republic,Restaurant,"Fast Food,Momos",3.5,300,Majiwada-- Thane West,,Mumbai
Mum Bai Toei,Restaurant,"North Indian,Chinese,Fast Food",NEW,500,Ulwe,,Mumbai
Swayampak Ghar,Restaurant,"Maharashtrian,North Indian",NEW,250,Wagle Estate-- Thane West,,Mumbai
Kebab & Biryani Station,Restaurant,"Biryani,Kebab",NEW,350,Bhandup,,Mumbai
The Chatori Corner,Restaurant,Fast Food,3.6,300,Borivali West,,Mumbai
Great Punjab Fast Food Corner,Restaurant,"Pizza,Sandwich,Fast Food",NEW,300,Virar,,Mumbai
Dum Biryanis,Restaurant,Mughlai,-,300,Powai,,Mumbai
Dosa Attack,Restaurant,"South Indian,Chinese,Fast Food",3.0,350,Kharghar,,Mumbai
Dwarka Veg Rest-o-Bar,Restaurant,"North Indian,Chinese",3.5,1100,Borivali West,,Mumbai
Modern China,Restaurant,"Chinese,North Indian",NEW,400,Dombivali West,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
The Hakka Kitchen,Restaurant,"Chinese,Thai",3.8,600,Goregaon West,,Mumbai
Shreeji Pav Bhaji,Restaurant,"Street Food,Fast Food",3.4,350,Kalyan,,Mumbai
Mhatre's Aagri Kitchen,Restaurant,"North Indian,Chinese",3.5,400,Dombivali West,,Mumbai
Vedge XPRS,Restaurant,"North Indian,Continental,Chinese",4.1,400,R City Mall-- Ghatkopar West,,Mumbai
Vedas Home Kitchen,Restaurant,North Indian,3.5,400,Jogeshwari,,Mumbai
2 Hearts Family Restro,Restaurant,"North Indian,Chinese",3.2,850,Dombivali East,,Mumbai
EatRight,Restaurant,"Healthy Food,Salad",3.7,450,Vasai,,Mumbai
The Wicked Spoon,Restaurant,"Korean,Chinese,Indonesian,Thai",3.8,800,Mira Road,,Mumbai
Marina - Harbour Bar,Restaurant,"North Indian,Chinese,Seafood",3.6,800,Vasai,,Mumbai
Jackson Chinese,Restaurant,"Chinese,North Indian",3.2,300,Nalasopara,,Mumbai
Tandoor & Tawa,Restaurant,"Chinese,Mughlai",3.1,450,Mira Road,,Mumbai
China Garden Fast Food,Restaurant,"Chinese,Seafood",3.6,700,Mulund West,,Mumbai
Om Sai Tejas,Restaurant,"Chinese,North Indian",3.5,400,Kalwa,,Mumbai
Hotel Sai Dham,Restaurant,"Malwani,Seafood,North Indian,Chinese",3.5,400,Mahakali,,Mumbai
Hotel Shri Tulsi,Restaurant,North Indian,3.5,200,Kandivali West,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Food King,Restaurant,"Chinese,North Indian",3.5,300,Kurla,,Mumbai
Ji Huzoor,Restaurant,"North Indian,Chinese,Mughlai",4.3,400,Mazgaon,,Mumbai
The Mystery Kitchen,Restaurant,"Continental,Fast Food",3.8,400,Oshiwara-- Andheri West,,Mumbai
Apsara Ice Creams,Restaurant,"Ice Cream,Desserts",4.4,200,Malad West,,Mumbai
PopWonMo,Restaurant,"American,Fast Food",4.0,300,Oshiwara-- Andheri West,,Mumbai
Whatta Waffle!,Restaurant,"Cafe,Desserts",4.3,300,Hiranandani Estate-- Thane West,,Mumbai
Gloria,Restaurant,"North Indian,Mughlai,Chinese,Seafood,Biryani",3.9,600,Byculla,,Mumbai
FiLLi,Restaurant,"Cafe,Fast Food",4.1,500,Andheri Lokhandwala-- Andheri West,,Mumbai
The Flip Bar,Restaurant,"Continental,Finger Food,Seafood",3.9,1000,Kandivali East,,Mumbai
Ohanna's,Restaurant,"Seafood,Biryani,North Indian,Chinese,Hyderabadi,Mughlai,Lebanese,Asian",3.9,600,7 Bungalows-- Andheri West,,Mumbai
Dewano Daa Dhaba,Restaurant,"North Indian,Mughlai,Awadhi",3.9,900,Versova-- Andheri West,,Mumbai
Arab Restaurant,Restaurant,"Chinese,Mughlai",NEW,700,Parel,,Mumbai
Shahnaz,Restaurant,"Chinese,North Indian",3.8,700,Mahim,,Mumbai
Kumba's Multicuisine Family Restaurant,Restaurant,"Chinese,Mughlai,North Indian,Thai",NEW,600,Andheri Lokhandwala-- Andheri West,,Mumbai
Mumbai Darbar,Restaurant,"North Indian,Mughlai,Chinese,Biryani",3.7,600,Mazgaon,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Jyoti Restaurant & Bar,Restaurant,"North Indian,Chinese,Mughlai,Seafood",3.5,450,Malad East,,Mumbai
Hotel Park View,Restaurant,"South Indian,Chinese,Fast Food",2.9,200,Borivali East,,Mumbai
Suyog Restaurant & Bar,Restaurant,"North Indian,Chinese,Mughlai,Seafood",3.4,750,Wadala,,Mumbai
Shamiyana,Restaurant,"Chinese,North Indian,Seafood",3.2,600,Upvan-- Thane West,,Mumbai
Nawab Fast Food & Juice Centre,Restaurant,Fast Food,3.6,400,Girgaum,,Mumbai
Safe,Restaurant,"Fast Food,North Indian,Biryani",3.4,500,Hill Road-- Bandra West,,Mumbai
Spice Chinese Corner,Restaurant,Chinese,3.5,350,Nalasopara,,Mumbai
Aroma Kitchen,Restaurant,"Chinese,North Indian,Mughlai",3.6,400,Powai,,Mumbai
Coastal Goa,Restaurant,"Goan,North Indian,Chinese",3.6,650,Near Andheri East Station,,Mumbai
Shiva Sagar,Restaurant,"North Indian,Chinese,Fast Food",3.8,700,Naupada-- Thane West,,Mumbai
Misal Darbar,Restaurant,Street Food,3.5,150,Vashi,,Mumbai
Trupti Farsan & Sweets,Restaurant,"Desserts,Fast Food",3.7,200,Near Andheri West Station,,Mumbai
Shabari Foods and Drinks,Restaurant,"North Indian,South Indian",3.3,1000,Kalyan,,Mumbai
Garam Masala,Restaurant,"Seafood,North Indian,Chinese,Malwani",3.4,550,Gorai,,Mumbai
Cafe Java,Restaurant,Cafe,3.7,400,Goregaon East,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Cheese Cake Villa,Restaurant,"Bakery,Desserts",3.8,400,Ghodbunder Road,,Mumbai
Chopsticks,Restaurant,Chinese,3.7,800,Kalyan,,Mumbai
Center Point Restaurant and Bar,Restaurant,"North Indian,Chinese,Seafood",-,800,Kalwa,,Mumbai
Ahlan Dubai,Restaurant,"Arabian,Fast Food",NEW,500,Mumbra,,Mumbai
Healthy Bites,Restaurant,North Indian,NEW,250,Worli,,Mumbai
Biryani World,Restaurant,North Indian,3.4,500,Powai,,Mumbai
Juice World,Restaurant,"Juices,Desserts,Ice Cream",3.5,250,Inorbit Mall-- Malad West,,Mumbai
Venkat Presidency,Restaurant,"North Indian,Mughlai,Chinese",3.6,700,Kamothe,,Mumbai
Sinful Surprises,Restaurant,"Bakery,Desserts",3.8,400,Dadar West,,Mumbai
Naughtyy Cream Parlour,Restaurant,"Desserts,Ice Cream",3.6,250,Malad West,,Mumbai
Vicky Kulfi Parlour,Restaurant,"Desserts,Ice Cream",3.9,100,Mahakali,,Mumbai
Central Juice & Snacks,Restaurant,"Desserts,Fast Food",3.4,200,Jogeshwari,,Mumbai
Oven Bite,Restaurant,Desserts,3.4,150,Girgaum,,Mumbai
Uncle's Corner,Restaurant,"North Indian,Mughlai,Chinese,Seafood,Thai",3.2,600,Borivali West,,Mumbai
Arpan Family Dining Bar,Restaurant,"Mughlai,North Indian,Chinese,Goan",3.5,1200,Vikhroli,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Panchmukhi,Restaurant,"Chinese,North Indian,Mughlai,Seafood",3.6,550,Malad West,,Mumbai
Chipsy Chopsy,Restaurant,"Chinese,North Indian,Biryani",3.0,600,Chandivali,,Mumbai
Shiva Leela,Restaurant,"North Indian,South Indian,Beverages,Chinese",3.3,500,Jogeshwari,,Mumbai
Vinisha,Restaurant,"North Indian,Chinese,Seafood",3.0,450,Chandivali,,Mumbai
Bombay Velvet,Restaurant,"Italian,Chinese,American",3.5,800,Dombivali East,,Mumbai
Hotel Maharashtra,Restaurant,Street Food,3.1,100,Borivali West,,Mumbai
Swamy's Idli Tiffin,Restaurant,South Indian,3.4,150,Upvan-- Thane West,,Mumbai
Momo Station,Restaurant,Tibetan,3.8,300,Carter Road-- Bandra West,,Mumbai
Zu's Doner Kebaps,Restaurant,"Turkish,Fast Food",3.6,250,Vasant Vihar-- Thane West,,Mumbai
JW,Restaurant,Juices,3.3,150,R City Mall-- Ghatkopar West,,Mumbai
Cheesiana,Restaurant,Italian,3.6,300,Dombivali East,,Mumbai
Pop'ins,Restaurant,"American,Mexican,Italian",3.3,400,New Panvel,,Mumbai
Darjiling Momos,Restaurant,Momos,3.3,200,Powai,,Mumbai
The Waffle House King,Restaurant,Desserts,3.5,250,Mira Road,,Mumbai
Neopolitan Pizza,Restaurant,"Pizza,Italian",3.6,500,Vasai,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Wan Shan Pan-Asian Cuisine,Restaurant,"Asian,Malaysian,Chinese,Thai,Burmese,Asian Fusion",3.6,800,Mahim,,Mumbai
Taste Budz,Restaurant,"Continental,Italian,Chinese,Desserts,Street Food",3.4,300,Kurla,,Mumbai
M.M Kitchen,Restaurant,"Biryani,Burger,Fast Food,Kebab,Pizza,Rolls",3.2,250,Mira Road,,Mumbai
R's Oriental,Restaurant,"North Indian,Chinese",3.7,800,Dombivali East,,Mumbai
Velvet Garden,Restaurant,"North Indian,Chinese",3.7,1100,Owale-- Thane West,,Mumbai
Shree Radha Krishna,Restaurant,"North Indian,South Indian,Chinese",3.4,700,Bhayandar,,Mumbai
Neel Indian Kitchen & Bar,Restaurant,North Indian,3.8,1600,Powai,,Mumbai
Coconut Leaf,Restaurant,South Indian,3.5,400,Old Panvel,,Mumbai
Sagar Kala Khatta,Restaurant,Ice Cream,3.5,200,Juhu Chowpatty-- Juhu,,Mumbai
Pizza Ka Baap,Restaurant,Pizza,2.6,400,Borivali East,,Mumbai
Lovely Spot Happy Feeling,Restaurant,Fast Food,3.1,600,Malad West,,Mumbai
Aroma Food Corner,Restaurant,"Fast Food,Momos",3.2,200,Bhandup,,Mumbai
Global Foodie,Restaurant,"North Indian,Chinese,Italian,Mexican,Continental,American,French",3.7,700,Chandivali,,Mumbai
Urban Flavour Wine & Dine,Restaurant,"North Indian,South Indian,Mexican,Fast Food,Chinese",3.3,600,Vasai,,Mumbai
Wok The Chinese Restaurant,Restaurant,"Chinese,Thai,Seafood",3.2,700,Naupada-- Thane West,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
MM Fast Food,Restaurant,Fast Food,3.3,300,Malad West,,Mumbai
Bake Studio,Restaurant,"Bakery,Desserts",4.2,200,Byculla,,Mumbai
Wok The Chinese Restaurant,Restaurant,"Chinese,Thai,Seafood",3.2,700,Naupada-- Thane West,,Mumbai
Urban Flavour Wine & Dine,Restaurant,"North Indian,South Indian,Mexican,Fast Food,Chinese",3.3,600,Vasai,,Mumbai
Cheesiana,Restaurant,Italian,3.6,300,Dombivali East,,Mumbai
JW,Restaurant,Juices,3.3,150,R City Mall-- Ghatkopar West,,Mumbai
Tasty Sandwich & Pizza Corner,Restaurant,"Sandwich,Fast Food",3.7,300,Dadar West,,Mumbai
The Churro Co.,Restaurant,"Desserts,Bakery",3.6,250,Infiniti Mall-- Andheri Lokhandwala-- Andheri West,,Mumbai
Food Culture,Restaurant,"North Indian,Chinese",3.3,500,Powai,,Mumbai
Yaanfoods,Restaurant,Mexican,3.4,400,Kalyan,,Mumbai
Frappe Makers,Restaurant,"Cafe,Fast Food",3.7,500,Vasant Vihar-- Thane West,,Mumbai
Desi Addict,Restaurant,"Sandwich,Juices",3.5,400,Kharghar,,Mumbai
Dipti Restro Bar,Restaurant,"North Indian,Chinese,Kebab",3.5,500,Kalwa,,Mumbai
Global Foodie,Restaurant,"North Indian,Chinese,Italian,Mexican,Continental,American,French",3.7,700,Chandivali,,Mumbai
Aroma Food Corner,Restaurant,"Fast Food,Momos",3.2,200,Bhandup,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Yaanfoods,Restaurant,Mexican,3.4,400,Kalyan,,Mumbai
Bongo Byanjon,Restaurant,"Bengali,Biryani,North Indian",3.7,800,Kharghar,,Mumbai
Hotel Deviprasad,Restaurant,"North Indian,Chinese",2.1,450,Mahakali,,Mumbai
Koolers,Restaurant,Chinese,2.8,500,Chembur,,Mumbai
Shri Krishna Sweets,Restaurant,Mithai,3.4,200,Vashi,,Mumbai
Satyam chat,Restaurant,"Chinese,Street Food",3.4,300,Bhandup,,Mumbai
Shree Sai Kulcha Hut,Restaurant,North Indian,3.5,200,Kalyan,,Mumbai
Cafe Eatalian,Restaurant,"Cafe,Italian,Fast Food,Salad",3.4,700,Marol,,Mumbai
Fried Nation,Restaurant,"Fast Food,American",3.5,300,Mira Road,,Mumbai
Tasty Sandwich & Pizza Corner,Restaurant,"Sandwich,Fast Food",3.7,300,Dadar West,,Mumbai
The FitBox Co.,Restaurant,"Healthy Food,Salad,Sandwich",3.6,400,Sion,,Mumbai
Vedha,Restaurant,"Chinese,North Indian,Biryani",3.9,500,Bhandup,,Mumbai
Jayam Dosa Corner,Restaurant,South Indian,3.3,350,Ulhasnagar,,Mumbai
Icecreamo,Restaurant,Desserts,4.0,200,Charni Road,,Mumbai
Moody's Express,Restaurant,"Fast Food,Beverages",3.3,350,Old Panvel,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Hari Om Jalebiwala,Restaurant,"Desserts,Street Food",3.5,100,Vile Parle East,,Mumbai
The Punjab Tandoor & Fish Fry,Restaurant,"North Indian,Seafood",3.1,400,Sion,,Mumbai
Cheese On Fire,Restaurant,"Fast Food,Italian",3.9,300,Ghatkopar East,,Mumbai
Bistro Grill Family Restaurant,Restaurant,"North Indian,Continental,Italian,Chinese",3.9,700,Kalyan,,Mumbai
Sardari Restaurant,Restaurant,"Chinese,North Indian,Kebab,Mughlai",3.5,600,Malad East,,Mumbai
Lunchroom By Dailycacy,Restaurant,"North Indian,Rajasthani",3.8,300,Worli,,Mumbai
Cafe Almas,Restaurant,"North Indian,Chinese,Mughlai",3.3,600,Mohammad Ali Road,,Mumbai
Hotel Mahesh,Restaurant,"North Indian,Chinese,Mughlai,Fast Food",3.5,600,Santacruz East,,Mumbai
Trushna Batata Wada - Mai,Restaurant,"North Indian,South Indian,Chinese,Juices",3.8,300,Goregaon West,,Mumbai
Dimsum Wū,Restaurant,"Chinese,Thai,Sushi,Burmese,Japanese",3.9,650,Goregaon East,,Mumbai
Vyas Bhojnalaya,Restaurant,Gujarati,3.0,400,Virar,,Mumbai
Nisarg Garden,Restaurant,"North Indian,Maharashtrian,Chinese",3.4,800,Dombivali West,,Mumbai
Urban Khaugalli,Restaurant,"South Indian,North Indian,Chinese",3.1,300,CBD-Belapur,,Mumbai
Cafe Gup-Shup,Restaurant,"Fast Food,Pizza,Sandwich,Juices",3.6,400,Mulund West,,Mumbai
Hotel Vijay Sagar,Restaurant,Seafood,2.9,550,Dombivali East,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Alankar Restaurant,Restaurant,"Fast Food,South Indian,Juices",3.5,250,Fort,,Mumbai
Hotel Shanti Sagar,Restaurant,"North Indian,Chinese,Street Food",3.5,600,Ulhasnagar,,Mumbai
Vishwa Jyoti,Restaurant,"North Indian,Chinese",3.5,800,Vashi,,Mumbai
New Step In Family Restaurant & Bar,Restaurant,"North Indian,Mughlai,Chinese",3.7,600,Mahim,,Mumbai
Warden Bakery,Restaurant,"Bakery,Fast Food",3.6,200,Tardeo,,Mumbai
Indian Summer,Restaurant,"North Indian,Mughlai,Seafood",3.2,1200,Churchgate,,Mumbai
Swad Fine Dine,Restaurant,"Chinese,Thai",3.5,550,Goregaon East,,Mumbai
Sarangi,Restaurant,"South Indian,North Indian,Chinese,Street Food,Beverages",3.4,450,Near Andheri East Station,,Mumbai
New Shalimar Caterers,Restaurant,"North Indian,Chinese",3.3,350,Nerul,,Mumbai
Laxmi Krupa,Restaurant,"Fast Food,North Indian,South Indian,Chinese",2.7,600,Dombivali East,,Mumbai
Hungry,Restaurant,Fast Food,3.4,300,Mira Road,,Mumbai
Oye Teri,Restaurant,"Fast Food,Street Food",3.3,550,Andheri Lokhandwala-- Andheri West,,Mumbai
Zaika Family Restaurant,Restaurant,"Mughlai,North Indian,Biryani,Chinese",3.8,500,Dombivali East,,Mumbai
Chocoholics,Restaurant,Desserts,3.0,300,Powai,,Mumbai
Sahara Restaurant,Restaurant,"North Indian,Mughlai,Chinese",3.7,450,Chembur,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Sahara Restaurant,Restaurant,"North Indian,Mughlai,Chinese",3.7,450,Chembur,,Mumbai
Shri Ganeshji,Restaurant,"South Indian,Chinese,Fast Food",3.7,350,Veera Desai Area,,Mumbai
Madhuram Sweets,Restaurant,Mithai,3.8,300,Mira Road,,Mumbai
Nayak Foods Dosa Market,Restaurant,"South Indian,Chinese,Fast Food",3.3,250,Kalyan,,Mumbai
Trench Patisserie,Restaurant,"Bakery,Desserts",3.2,500,4 Bungalows,,Mumbai
Shabari,Restaurant,"Chinese,Fast Food,North Indian,South Indian",3.5,400,Mira Road,,Mumbai
The Cake Buzz,Restaurant,Bakery,3.5,400,Kalyan,,Mumbai
Sayes,Restaurant,"Chinese,North Indian,Continental",-,550,Marol,,Mumbai
Fatty Patty,Restaurant,"American,Fast Food",NEW,350,Marol,,Mumbai
Dumpling Chinese Corner,Restaurant,Chinese,3.5,350,Dadar West,,Mumbai
The Chicken Company,Restaurant,"Fast Food,Beverages",NEW,250,Airoli,,Mumbai
Bele's Ashok Dugdhalaya,Restaurant,Mithai,3.5,350,Byculla,,Mumbai
Akshaya Bar & Restaurant,Restaurant,"North Indian,Biryani,Chinese",3.6,550,Vasai,,Mumbai
Cake Pop Rush,Restaurant,"Bakery,Desserts",4.1,300,Tardeo,,Mumbai
Tendulkar Malvani,Restaurant,"Malwani,Chinese",3.1,600,Chakala,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Garam Masala,Restaurant,"Konkan,North Indian,Chinese,Malwani",2.4,700,Airoli,,Mumbai
Hill View,Restaurant,"North Indian,Mughlai,Chinese,Italian",3.7,650,Dahisar West,,Mumbai
Mac Craig,Restaurant,"Fast Food,North Indian",3.5,550,Pali Hill-- Bandra West,,Mumbai
Coconut Lagoon,Restaurant,"North Indian,Chinese,Mughlai,Fast Food",3.7,700,Manpada-- Thane West,,Mumbai
Dosa Plaza,Restaurant,"South Indian,Chinese,North Indian",3.5,450,Vashi,,Mumbai
Radhika's Shiv Sagar,Restaurant,"North Indian,Chinese,South Indian,Street Food",3.5,500,Malad West,,Mumbai
Temptations,Restaurant,"North Indian,Mughlai,Chinese,Biryani",3.5,700,Kandivali East,,Mumbai
Stars Parade,Restaurant,"Chinese,North Indian",3.8,800,Chembur,,Mumbai
Food Destination,Restaurant,"Chinese,North Indian,Thai",3.5,700,Kopar Khairane,,Mumbai
MYOS,Restaurant,Fast Food,3.7,400,Kharghar,,Mumbai
Royal Darbaar,Restaurant,"Chinese,North Indian",3.0,400,Kamothe,,Mumbai
Fusion Ice Cream Cakes and Sundaes,Restaurant,"Ice Cream,Desserts",3.8,250,Mira Road,,Mumbai
Saanvi Kitchen,Restaurant,Chinese,3.3,350,Dombivali West,,Mumbai
Biryani & Beyond,Restaurant,"North Indian,Mughlai",3.3,700,Kharghar,,Mumbai
Extra Innings,Restaurant,Fast Food,3.9,300,Malad West,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
The Honky Tonk,Restaurant,"American,Continental,Chinese,Beverages",4.0,700,Malad West,,Mumbai
A J Foods,Restaurant,"Chinese,Momos,North Indian",3.5,450,Mahakali,,Mumbai
ZippyFeed,Restaurant,"Biryani,Chinese,Fast Food,North Indian",3.7,300,Kamothe,,Mumbai
Zyka,Restaurant,"Chinese,North Indian",4.0,600,Andheri Lokhandwala-- Andheri West,,Mumbai
Toro Churro,Restaurant,"Desserts,Beverages",4.3,200,Chowpatty,,Mumbai
Think Juice,Restaurant,"Juices,Desserts",3.8,200,Ghatkopar East,,Mumbai
Ari & Vin,Restaurant,"Ice Cream,Beverages,Desserts",4.3,300,Borivali West,,Mumbai
Bombay Local,Restaurant,"Fast Food,Chinese",3.8,300,Mulund West,,Mumbai
The Foodies Station,Restaurant,"North Indian,Chinese",4.0,500,Sakinaka,,Mumbai
Hunger Villa,Restaurant,"Pizza,Sandwich,Cafe,Desserts,Beverages,Italian",4.3,600,Virar,,Mumbai
The Light Kitchen,Restaurant,"Healthy Food,North Indian",4.4,600,Chakala,,Mumbai
Wat-A-Burger!,Restaurant,"Burger,Fast Food",4.0,400,Mulund West,,Mumbai
The Lantern Bar at Kandeel,Restaurant,"North Indian,Chinese",3.8,1000,Fort,,Mumbai
Shahi Pakwan,Restaurant,"North Indian,Biryani,Chinese",3.8,700,Mira Road,,Mumbai
24/7 Restaurant - The Lalit Mumbai,Restaurant,"European,Italian,North Indian,Asian",4.0,5000,The Lalit Mumbai-- Chakala,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Benzy's Family Restaurant,Restaurant,"North Indian,South Indian,Chinese",3.3,400,Mumbai CST Area,,Mumbai
S P Burger,Restaurant,Fast Food,3.6,200,Chembur,,Mumbai
il Sachhi Pizzeria,Restaurant,"Pizza,Fast Food",3.7,450,Bhandup,,Mumbai
Chow Me Up,Restaurant,"Chinese,Asian,Thai",3.8,500,Malad West,,Mumbai
Beyond Temptation,Restaurant,"Cafe,Fast Food,Ice Cream",3.8,350,Naupada-- Thane West,,Mumbai
Food Destination,Restaurant,"Chinese,North Indian,Thai",3.5,700,Kopar Khairane,,Mumbai
Nayana Chinese Centre,Restaurant,"Chinese,North Indian",3.4,300,Kharghar,,Mumbai
Farm House Cafe,Restaurant,"North Indian,Chinese,Maharashtrian",3.6,700,Marol,,Mumbai
The - Dining Space & Bar,Restaurant,"North Indian,Chinese,Lebanese,Continental,Thai,Mexican",3.6,1000,Kalamboli,,Mumbai
MCC World,Restaurant,Fast Food,3.6,200,Nalasopara,,Mumbai
Biryani & Beyond,Restaurant,"North Indian,Mughlai",3.3,700,Kharghar,,Mumbai
Extra Innings,Restaurant,Fast Food,3.9,300,Malad West,,Mumbai
Tapri Shapri,Restaurant,"Chinese,Sandwich,Fast Food,Tea",3.8,400,Andheri Lokhandwala-- Andheri West,,Mumbai
Shyam Sandwich,Restaurant,"Sandwich,Fast Food",3.3,150,Kandivali West,,Mumbai
Kake Di Rasoi,Restaurant,"North Indian,Chinese",3.6,800,Malad West,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
Pizzas & More,Restaurant,"Pizza,Fast Food",3.0,400,Vikhroli,,Mumbai
Pappasta Cafe,Restaurant,"Fast Food,Pizza",3.5,400,Girgaum,,Mumbai
Status,Restaurant,"North Indian,Mughlai,Chinese",3.4,1000,Vasai,,Mumbai
Hotel Dwarka,Restaurant,"North Indian,South Indian,Chinese,Juices",-,400,Vasai,,Mumbai
Maya's Kitchen,Restaurant,"Chinese,North Indian",3.5,300,Vasant Vihar-- Thane West,,Mumbai
Sonu’s Koliwada Fish Fry And Dhaba,Restaurant,"Seafood,North Indian",3.3,500,Sanpada,,Mumbai
Talha Shawarma Corner,Restaurant,"Lebanese,Rolls",3.6,300,Chakala,,Mumbai
Tawa n Wok,Restaurant,"Chinese,North Indian",3.9,450,Mira Road,,Mumbai
Shri Krish Corner,Restaurant,"Fast Food,North Indian,Chinese",3.4,700,Kasarvadavli-- Thane West,,Mumbai
Burger Culture,Restaurant,"Fast Food,Burger",NEW,250,Hill Road-- Bandra West,,Mumbai
Hrishi's Food Court,Restaurant,"Fast Food,Beverages",NEW,400,Hiranandani Estate-- Thane West,,Mumbai
Mughal Darbar,Restaurant,"North Indian,Mughlai,Chinese",3.1,500,Jogeshwari,,Mumbai
Just Beat It,Restaurant,"Bakery,Desserts",3.6,500,Chembur,,Mumbai
Shyam Sandwich,Restaurant,"Sandwich,Fast Food",3.3,150,Kandivali West,,Mumbai
Mandarin House,Restaurant,"Chinese,Asian",3.8,500,Santacruz West,,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,,CITY
The Churro Co.,Restaurant,Beverages,3.5,400,Infiniti Mall-- Malad West,,Mumbai
Home Chef,Restaurant,"North Indian,South Indian,Chinese",2.5,350,CBD-Belapur,,Mumbai
Mumbai Treats,Restaurant,"Fast Food,Street Food,Beverages",4.2,600,Ghodbunder Road,,Mumbai
The Tetrad Cafe,Restaurant,"Fast Food,Beverages",3.8,500,Goregaon West,,Mumbai
Sridevi Veg Restaurant,Restaurant,"North Indian,Chinese,South Indian,Fast Food",3.4,550,Santacruz West,,Mumbai
Flavours,Restaurant,"Chinese,North Indian",3.4,400,Chembur,,Mumbai
Sams Kitchen,Restaurant,"North Indian,Mughlai,Chinese",-,500,Kasarvadavli-- Thane West,,Mumbai
Blisss,Restaurant,"Bakery,Fast Food,Desserts",3.7,400,Chembur,,Mumbai
The Brocode Kitchen,Restaurant,"Fast Food,Chinese",3.1,400,Sion,,Mumbai
S P Burger,Restaurant,Fast Food,3.6,200,Chembur,,Mumbai
Ku Kuch Ku Center,Restaurant,"Maharashtrian,Malwani",3.2,300,Dombivali East,,Mumbai
Taste Of Ganges,Restaurant,"Bengali,Biryani,North Indian,Chinese,Mughlai",2.5,550,Goregaon East,,Mumbai
PUBG Cafe,Restaurant,"Cafe,Italian,Burger",3.1,600,Vasai,,Mumbai
Modern's China Kitchen,Restaurant,Chinese,3.6,750,Dombivali East,,Mumbai
Fill n Chill,Restaurant,"North Indian,Chinese",3.3,500,Mira Road,,Mumbai
